  
       XFOIL         Version 6.99
  
 Calculated polar for: Airfoil_1                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0038   0.00755   0.00332   0.0008   0.7385   0.7388
   0.050  -0.0016   0.00755   0.00332   0.0015   0.7375   0.7397
   0.100   0.0011   0.00755   0.00332   0.0021   0.7367   0.7405
   0.150   0.0037   0.00755   0.00332   0.0027   0.7358   0.7413
   0.200   0.0060   0.00755   0.00332   0.0034   0.7349   0.7422
   0.250   0.0082   0.00755   0.00331   0.0040   0.7340   0.7431
   0.300   0.0103   0.00755   0.00330   0.0047   0.7330   0.7440
   0.350   0.0140   0.00755   0.00329   0.0051   0.7320   0.7448
   0.400   0.0181   0.00756   0.00329   0.0053   0.7311   0.7457
   0.450   0.0239   0.00756   0.00328   0.0052   0.7301   0.7465
   0.500   0.0176   0.00756   0.00329   0.0078   0.7293   0.7477
   0.550   0.0119   0.00757   0.00330   0.0103   0.7283   0.7488
   0.600   0.0067   0.00757   0.00330   0.0126   0.7272   0.7498
   0.650   0.0012   0.00758   0.00331   0.0150   0.7260   0.7508
   0.700  -0.0044   0.00759   0.00331   0.0174   0.7250   0.7517
   0.750  -0.0044   0.00759   0.00332   0.0186   0.7240   0.7526
   0.800   0.0010   0.00759   0.00333   0.0186   0.7231   0.7535
   0.850   0.0049   0.00759   0.00334   0.0188   0.7222   0.7544
   0.900   0.0083   0.00759   0.00335   0.0192   0.7212   0.7553
   0.950   0.0114   0.00759   0.00336   0.0197   0.7203   0.7562
   1.000   0.0146   0.00760   0.00337   0.0202   0.7193   0.7571
   1.050   0.0178   0.00760   0.00337   0.0206   0.7184   0.7578
   1.100   0.0210   0.00760   0.00338   0.0211   0.7174   0.7586
   1.150   0.0242   0.00761   0.00338   0.0215   0.7165   0.7594
   1.200   0.0274   0.00761   0.00338   0.0220   0.7154   0.7603
   1.250   0.0307   0.00762   0.00338   0.0224   0.7145   0.7611
   1.300   0.0344   0.00762   0.00337   0.0228   0.7135   0.7619
   1.350   0.0388   0.00763   0.00337   0.0230   0.7125   0.7627
   1.400   0.0455   0.00763   0.00336   0.0227   0.7113   0.7633
   1.450   0.0415   0.00765   0.00339   0.0247   0.7104   0.7645
   1.500   0.0392   0.00766   0.00340   0.0264   0.7096   0.7655
   1.550   0.0366   0.00767   0.00342   0.0281   0.7085   0.7664
   1.600   0.0337   0.00768   0.00343   0.0299   0.7074   0.7674
   1.650   0.0309   0.00769   0.00344   0.0317   0.7063   0.7684
   1.700   0.0280   0.00771   0.00345   0.0336   0.7052   0.7693
   1.750   0.0231   0.00772   0.00346   0.0358   0.7040   0.7702
   1.800   0.0219   0.00773   0.00347   0.0372   0.7028   0.7709
   1.850   0.0288   0.00773   0.00348   0.0368   0.7020   0.7718
   1.900   0.0346   0.00773   0.00349   0.0367   0.7010   0.7726
   1.950   0.0402   0.00773   0.00349   0.0366   0.7002   0.7733
   2.000   0.0451   0.00774   0.00350   0.0366   0.6992   0.7741
   2.050   0.0496   0.00774   0.00351   0.0368   0.6982   0.7749
   2.100   0.0539   0.00775   0.00352   0.0370   0.6972   0.7756
   2.150   0.0586   0.00775   0.00352   0.0371   0.6963   0.7763
   2.200   0.0630   0.00776   0.00352   0.0373   0.6953   0.7771
   2.250   0.0680   0.00777   0.00353   0.0374   0.6943   0.7778
   2.300   0.0739   0.00778   0.00352   0.0372   0.6931   0.7785
   2.350   0.0775   0.00778   0.00353   0.0376   0.6921   0.7792
   2.400   0.0748   0.00781   0.00356   0.0393   0.6911   0.7803
   2.450   0.0741   0.00782   0.00359   0.0406   0.6901   0.7812
   2.500   0.0737   0.00784   0.00361   0.0419   0.6890   0.7821
   2.550   0.0722   0.00786   0.00363   0.0433   0.6877   0.7831
   2.600   0.0723   0.00787   0.00365   0.0445   0.6867   0.7840
   2.650   0.0720   0.00788   0.00367   0.0457   0.6856   0.7849
   2.700   0.0714   0.00790   0.00368   0.0470   0.6843   0.7857
   2.750   0.0705   0.00791   0.00369   0.0483   0.6831   0.7866
   2.800   0.0688   0.00793   0.00370   0.0499   0.6818   0.7875
   2.850   0.0662   0.00795   0.00371   0.0516   0.6804   0.7883
   2.900   0.0618   0.00797   0.00371   0.0538   0.6792   0.7891
   2.950   0.0692   0.00797   0.00372   0.0532   0.6781   0.7898
   3.000   0.0770   0.00798   0.00371   0.0527   0.6769   0.7905
   3.050   0.0846   0.00798   0.00372   0.0521   0.6758   0.7912
   3.100   0.0922   0.00798   0.00372   0.0515   0.6746   0.7918
